frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.3658074850735401,0.7456070093684772,0.7857021503810495,0.33633076064268724,0.7092616863259065,0.7570263579437891
10,0.42966617933723195,0.7785453216374268,0.8073221247563352,0.41516812865497077,0.7740375243664718,0.8048245614035088
20,0.42309104258443464,0.7795888399412628,0.806412139011258,0.41763338228095936,0.7741434165442976,0.8022638277043563
40,0.43503703703703706,0.7917901234567901,0.8128271604938272,0.42587654320987656,0.7875555555555556,0.8074814814814815
80,0.46656611362493716,0.8154348919054801,0.8292232277526396,0.45703871292106585,0.8071015585721468,0.822875816993464
160,0.4791079812206573,0.8187010954616588,0.8312206572769953,0.4731611893583725,0.8091810119979134,0.826225873761085
320,0.48391144952058657,0.8566130851663847,0.859785673998872,0.48444726452340664,0.8523970671178793,0.8621404399323181
640,0.4975925925925926,0.868973063973064,0.8708249158249158,0.49112794612794614,0.8612289562289562,0.8733501683501683
1280,0.4872937293729373,0.844004400440044,0.8158140814081408,0.5017326732673267,0.8382013201320132,0.826952695269527
